id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon
1522,,Rue Sous le Bois ,2.0,4031.0,Angleur,Liège,rez-de-chaussée,,,,"2.0 Rue Sous le Bois , Angleur, Liège, Belgium 4031",50.6112229,5.5872582
1523,,Rue de l Hôpital,8.0,4540.0,Amay,Liège,rez,,,,"8.0 Rue de l Hôpital, Amay, Liège, Belgium 4540",50.5457399,5.3152821
1524,,Avenue E. Mounier,83.0,1200.0,Brussel,Bruxelles-Brussel,1e verd. Rechts ingang,,,,"83.0 Avenue E. Mounier, Brussel, Bruxelles-Brussel, Belgium 1200",50.8507765,4.4537123
1525,,Westerring,21.0,8700.0,Oudenaarde,West-Vlaanderen,"hoofdgang, 50m links",,,,"21.0 Westerring, Oudenaarde, West-Vlaanderen, Belgium 8700",50.8600356,3.5965213
1526,,Rue Julien Lahaut ,,7100.0,La,Hainaut,"geb over speelplaats,glvl",,,," Rue Julien Lahaut , La, Hainaut, Belgium 7100",50.4690906,4.1792906
1527,,Rue de Bouvy ,127.0,7100.0,La,Hainaut,hoofding. t.o.  cafétaria,,,,"127.0 Rue de Bouvy , La, Hainaut, Belgium 7100",50.4712331,4.1824571
1528,,Pastoor Dergentlaan ,220.0,3200.0,Aarschot,Vlaams-Brabant,1e verd. Inkomhal,,,,"220.0 Pastoor Dergentlaan , Aarschot, Vlaams-Brabant, Belgium 3200",50.9893054,4.8349936
1529,,Rue de Richelle,,4600.0,Richelle,Liège,,,,," Rue de Richelle, Richelle, Liège, Belgium 4600",50.7164117,5.7031995
1530,,Rue Heideken,48.0,1083.0,Bruxelles,Bruxelles-Brussel,rdc - salle d attente,,,,"48.0 Rue Heideken, Bruxelles, Bruxelles-Brussel, Belgium 1083",50.8733231,4.3213279
1531,,Watersportlaan,11.0,8620.0,Nieuwpoort,West-Vlaanderen,,,,,"11.0 Watersportlaan, Nieuwpoort, West-Vlaanderen, Belgium 8620",51.1388233,2.746945
1532,,Drève de Maison-Bois,37.0,4910.0,Theux,Liège,"rez, entrée hall Tapis",,,,"37.0 Drève de Maison-Bois, Theux, Liège, Belgium 4910",50.5622207,5.846701
1533,,Weddemerweg,,4750.0,Butgenbach,Liège,vestaire,,,," Weddemerweg, Butgenbach, Liège, Belgium 4750",50.4614468,6.2214886
1534,,Rue des Botresses ,2.0,4420.0,Montegnée,Liège,bat. a droite la cour école,,,,"2.0 Rue des Botresses , Montegnée, Liège, Belgium 4420",50.64135,5.5185872
1535,,Avenue Amedée HESSE,41.0,4900.0,Spa,Liège,"rez, infirmerie",,,,"41.0 Avenue Amedée HESSE, Spa, Liège, Belgium 4900",50.4980027,5.8808452
1536,,Rue Lieu Di Altrape,,4830.0,Limbourg,Liège,terrain de football,,,," Rue Lieu Di Altrape, Limbourg, Liège, Belgium 4830",50.612225,5.9472679
1537,,Rue Grande,33.0,5070.0,Le,Namur,vestiare arbitre,,,,"33.0 Rue Grande, Le, Namur, Belgium 5070",50.3917624,4.6192619
1538,,Rue de Tongrés,,4684.0,Haccourt,Liège,buvette club de foot,,,," Rue de Tongrés, Haccourt, Liège, Belgium 4684",50.7405347,5.6550359
1539,,Voie du Banel,16.0,6740.0,Etalle,Luxembourg,vestiarie arbitre,,,,"16.0 Voie du Banel, Etalle, Luxembourg, Belgium 6740",49.6613599,5.559
1540,,Pont Ste Maxenc,1.0,5060.0,Auvelais,Namur,"rez, hall entrée complexe",,,,"1.0 Pont Ste Maxenc, Auvelais, Namur, Belgium 5060",50.4430945,4.6408032
1541,,Arsenaalstraat 49 ,49.0,1730.0,ASSE,Vlaams-Brabant,reservetoestel in kazerne,,,,"49.0 Arsenaalstraat 49 , ASSE, Vlaams-Brabant, Belgium 1730",50.909474,4.1994231
1542,,Rue des Produits,,7012.0,Flénu,Hainaut,salle de réunion,,,," Rue des Produits, Flénu, Hainaut, Belgium 7012",50.4296404,3.8851003
1543,,Route de Modave,,4577.0,Modave,Liège,buvette Football,,,," Route de Modave, Modave, Liège, Belgium 4577",50.4432348,5.2973137
1544,,Rue Pré Messire,24.0,4970.0,Stavelot,Liège,vestiaire arbitre,,,,"24.0 Rue Pré Messire, Stavelot, Liège, Belgium 4970",50.3955499,5.9365781
1545,,Rue Hall des Sports ,15.0,1130.0,Bruxelles,Bruxelles-Brussel,salle omnisports cantine,,,,"15.0 Rue Hall des Sports , Bruxelles, Bruxelles-Brussel, Belgium 1130",50.8918827,4.4202389
1546,,Rue Cour en Wooz,1.0,4841.0,Henri-Chapelle,Liège,"football, local",,,,"1.0 Rue Cour en Wooz, Henri-Chapelle, Liège, Belgium 4841",50.6337108,5.8994739
1547,,Rue de Herve,,4030.0,GrivegnéeLiège),Liège,buvette,,,," Rue de Herve, GrivegnéeLiège), Liège, Belgium 4030",50.6289688,5.6208079
1548,,Rue Font Saint Laudry ,10.0,1120.0,Bruxelles,Bruxelles-Brussel,"2ième étage, réfectoire",,,,"10.0 Rue Font Saint Laudry , Bruxelles, Bruxelles-Brussel, Belgium 1120",50.9093288,4.3967014
1549,,Rue Font Saint Landry,10.0,1120.0,Bruxelles,Bruxelles-Brussel,"Res, vestiaire",,,,"10.0 Rue Font Saint Landry, Bruxelles, Bruxelles-Brussel, Belgium 1120",50.9093288,4.3967014
1550,,PI - Rue de Wallonie ,16.0,4460.0,Grâce-Hollogne,Liège,hall d entrée,,,,"16.0 PI - Rue de Wallonie , Grâce-Hollogne, Liège, Belgium 4460",50.653661,5.4888011
1551,,Rue des Anémones,,4671.0,Blégny,Liège,entrée d une site parking,,,," Rue des Anémones, Blégny, Liège, Belgium 4671",50.6414249,5.6777661
1552,,Rue Voie de Messe ,22.0,4680.0,Oupeye,Liège,rez-de-chaussée,,,,"22.0 Rue Voie de Messe , Oupeye, Liège, Belgium 4680",50.7121552,5.6202293
1553,,Fond de Malonne,129.0,5020.0,Malonne,Namur,1ière ét. salle gymnastique,,,,"129.0 Fond de Malonne, Malonne, Namur, Belgium 5020",50.4389824,4.7957028
1554,,Rue au dessous de la Ville,,6830.0,Bouillon,Luxembourg,cafétaria,,,," Rue au dessous de la Ville, Bouillon, Luxembourg, Belgium 6830",49.7892158,5.0905007
1555,,Chaussée de Namur,69.0,5070.0,Fosses-la-Ville,Namur,local cafétaria,,,,"69.0 Chaussée de Namur, Fosses-la-Ville, Namur, Belgium 5070",50.3992121,4.7293701
1556,,Rue du Tambour,,6830.0,Bouillon,Luxembourg,vestiaire arbitre,,,," Rue du Tambour, Bouillon, Luxembourg, Belgium 6830",49.7891739,5.007862
1557,,Rue Jean Jaures,1.0,7033.0,Cuesmes,Hainaut,"Hall 2, sall de sports",,,,"1.0 Rue Jean Jaures, Cuesmes, Hainaut, Belgium 7033",50.4406357,3.911814
1558,,Rue Taille Colleau,,7034.0,Obourg,Hainaut,local cafétaria,,,," Rue Taille Colleau, Obourg, Hainaut, Belgium 7034",50.4819867,4.0066712
1559,,Place de Cuesmes,1.0,7033.0,Cuesmes,Hainaut,cafétaria,,,,"1.0 Place de Cuesmes, Cuesmes, Hainaut, Belgium 7033",50.436965,3.9249559
1560,,Avenue du Roi Cheval,1.0,7020.0,NimyMons),Hainaut,cafétaria,,,,"1.0 Avenue du Roi Cheval, NimyMons), Hainaut, Belgium 7020",50.4824521,3.9637863
1561,,Voie de Wasmes,23.0,7033.0,Cuesmes,Hainaut, local maîtres-nageurs,,,,"23.0 Voie de Wasmes, Cuesmes, Hainaut, Belgium 7033",50.4363364,3.9095058
1562,,Rue Jean Jaurés,1.0,7033.0,Cuesmes,Hainaut,hall 1 au fond de la salle,,,,"1.0 Rue Jean Jaurés, Cuesmes, Hainaut, Belgium 7033",50.4406357,3.911814
1563,,Rue de la Barrière,1.0,7011.0,Ghlin,Hainaut,vestiaire arbitre,,,,"1.0 Rue de la Barrière, Ghlin, Hainaut, Belgium 7011",50.46551,3.91039
1564,,Rue de Mons,,7011.0,Ghlin,Hainaut,cafétaria terrain rugby,,,," Rue de Mons, Ghlin, Hainaut, Belgium 7011",50.4705841,3.9174609
1565,,Rue des Epinois,,7020.0,Mons,Hainaut,cafétaria terrain de football,,,," Rue des Epinois, Mons, Hainaut, Belgium 7020",50.3938107,4.2484163
1566,,Rue des Walbrees,,7011.0,Ghlin,Hainaut,cafétaria terrain football,,,," Rue des Walbrees, Ghlin, Hainaut, Belgium 7011",50.4677411,3.9204355
1567,,Docteur Beudin,,1080.0,Bruxelles,Bruxelles-Brussel," sous-sol, salle de sport",,,," Docteur Beudin, Bruxelles, Bruxelles-Brussel, Belgium 1080",50.8569948,4.3141676
1568,,Rue de Lombardzijde,120.0,1120.0,Bruxelles,Bruxelles-Brussel,salle omnisport,,,,"120.0 Rue de Lombardzijde, Bruxelles, Bruxelles-Brussel, Belgium 1120",50.8476424,4.3571696
1569,,Vakenstraat,18.0,3110.0,Rotselaar,Vlaams-Brabant, glvl naast balie,,,,"18.0 Vakenstraat, Rotselaar, Vlaams-Brabant, Belgium 3110",50.9635574,4.7261822
1570,,Caron du Charbonnage,,7321.0,Harchies,Hainaut,près du porte buvette,,,," Caron du Charbonnage, Harchies, Hainaut, Belgium 7321",50.4803048,3.6946534
1571,,Rue du Stade ,49.0,6741.0,Vance,Luxembourg,garage matériel des vestiaires,,,,"49.0 Rue du Stade , Vance, Luxembourg, Belgium 6741",49.6661653,5.6609294
1572,,Walstraat ,5.0,3300.0,Tienen,Vlaams-Brabant,inkomhal ,,,,"5.0 Walstraat , Tienen, Vlaams-Brabant, Belgium 3300",50.8059419,4.9232589
1573,,Rue de Baelen,,4840.0,Welkenraedt,Liège,entrée cafétaria,,,," Rue de Baelen, Welkenraedt, Liège, Belgium 4840",50.6529073,5.9651213
1574,,Rue des Fabriques ,54.0,1000.0,Bruxelles,Bruxelles-Brussel,"rez, gymnase",,,,"54.0 Rue des Fabriques , Bruxelles, Bruxelles-Brussel, Belgium 1000",50.8487162,4.3409515
1575,,Chaussée de Vilvorde,170.0,1120.0,Bruxelles,Bruxelles-Brussel,entrant dans la salle,,,,"170.0 Chaussée de Vilvorde, Bruxelles, Bruxelles-Brussel, Belgium 1120",50.8941631,4.3982083
1576,,Bd d Angleterre,,1420.0,Braine-l Alleud,Brabant Wallon,rez de chaussée,,,," Bd d Angleterre, Braine-l Alleud, Brabant Wallon, Belgium 1420",50.66514,4.3789469
1577,,Rue Baron Dhanis,6.0,1040.0,Bruxelles,Bruxelles-Brussel,secret. 1ière porte droîte,,,,"6.0 Rue Baron Dhanis, Bruxelles, Bruxelles-Brussel, Belgium 1040",50.8291877,4.3967415
1578,,Rue Magritte,20.0,4920.0,Aywaille,Liège,hall omnisports,,,,"20.0 Rue Magritte, Aywaille, Liège, Belgium 4920",50.4667799,5.7130934
1579,,Rue les Sarts,4.0,4990.0,Lierneux,Liège,cafétaria,,,,"4.0 Rue les Sarts, Lierneux, Liège, Belgium 4990",50.2624762,5.8574077
1580,,Zoning Industriel Rue de la Vieille Sambre,,5190.0,Mornimont,Namur,,,,," Zoning Industriel Rue de la Vieille Sambre, Mornimont, Namur, Belgium 5190",50.4519515,4.7129598
1581,,Graanmarkt,,2000.0,Antwerpen,Antwerpen,achterkant gebouw,,,," Graanmarkt, Antwerpen, Antwerpen, Belgium 2000",51.2158876,4.4085722
1582,,Rue Haut des Bruyères,,6860.0,Léglise,Luxembourg,local arbitre,,,," Rue Haut des Bruyères, Léglise, Luxembourg, Belgium 6860",49.8027754,5.5325424
1583,,Rue Cour Marchal,10.0,6760.0,Virton,Luxembourg,,,,,"10.0 Rue Cour Marchal, Virton, Luxembourg, Belgium 6760",49.5658203,5.5361601
1584,,Rue du Beau Site,25.0,4400.0,Flémalle,Liège,cafétaria,,,,"25.0 Rue du Beau Site, Flémalle, Liège, Belgium 4400",50.5976029,5.446865
1585,,Rue Paquot,2.0,4280.0,Lens-Saint-Remy,Liège, buvette,,,,"2.0 Rue Paquot, Lens-Saint-Remy, Liège, Belgium 4280",50.6578327,5.1295976
1586,,Rue de Fleurus,2.0,5030.0,Gembloux,Namur,rez-de-chaussée,,,,"2.0 Rue de Fleurus, Gembloux, Namur, Belgium 5030",50.5874511,4.7252558
1587,,Rue de la Malaise,,7140.0,Morlanwelz,Hainaut,buvette,,,," Rue de la Malaise, Morlanwelz, Hainaut, Belgium 7140",50.4565775,4.2361112
1588,,Avenue Fonsny,,1060.0,Bruxelles,Bruxelles-Brussel,terminal Eurostar,,,," Avenue Fonsny, Bruxelles, Bruxelles-Brussel, Belgium 1060",50.8339057,4.3357606
1589,,Rue de Frameries,,7000.0,Mons,Hainaut,local cafétaria,,,," Rue de Frameries, Mons, Hainaut, Belgium 7000",50.435838,3.9237374
1590,,Rue de By,,7000.0,MONS,Hainaut,local cafétaria,,,," Rue de By, MONS, Hainaut, Belgium 7000",50.4384305,3.9631908
1591,,Rue Dr. Wolkas,,7012.0,Jemappes,Hainaut,cuisine derrière cafétaria,,,," Rue Dr. Wolkas, Jemappes, Hainaut, Belgium 7012",50.4485074,3.8803074
1592,,Rue Irma Fievet,,7021.0,Havré,Hainaut,magasin de la salle de sports,,,," Rue Irma Fievet, Havré, Hainaut, Belgium 7021",50.463272,4.0512685
1593,,Rue des Produits,18.0,7012.0,Flénu,Hainaut,salle de sports,,,,"18.0 Rue des Produits, Flénu, Hainaut, Belgium 7012",50.4296404,3.8851003
1594,,Rue des Laminoirs,,7012.0,Jemappes,Hainaut,hall vestiaire professionnel,,,," Rue des Laminoirs, Jemappes, Hainaut, Belgium 7012",50.4498473,3.8714237
1595,,Avenue de Tir,,7000.0,MONS,Hainaut,vestiaires professionnels ,,,," Avenue de Tir, MONS, Hainaut, Belgium 7000",50.4616777,3.9621946
1596,,Avenue du Tir,,7000.0,MONS,Hainaut,hall des vestiaires,,,," Avenue du Tir, MONS, Hainaut, Belgium 7000",50.4616777,3.9621946
1597,,Rue de la Station,2.0,7800.0,Ath,Hainaut,bât principal l accueil,,,,"2.0 Rue de la Station, Ath, Hainaut, Belgium 7800",50.6273646,3.7767899
1598,,Rue de l Angle,10.0,5310.0,Eghezée,Namur,"rez, secretariat",,,,"10.0 Rue de l Angle, Eghezée, Namur, Belgium 5310",50.5934688,4.917852
1599,,Avenue Brugmann,,1180.0,Bruxelles,Bruxelles-Brussel,rez espace rangement,,,," Avenue Brugmann, Bruxelles, Bruxelles-Brussel, Belgium 1180",50.8085869,4.3446485
1600,,Avenue Leopold III,,7100.0,Saint-Vaast,Hainaut,clubhouse,,,," Avenue Leopold III, Saint-Vaast, Hainaut, Belgium 7100",50.46201,4.1600642
1601,,Rue de Montignies,,7063.0,Neufvilles,Hainaut,"rez, vestiaire arbitre",,,," Rue de Montignies, Neufvilles, Hainaut, Belgium 7063",50.5659032,3.9848468
1602,,Rue de la Tannerie,,7000.0,Mons,Hainaut,ancienne Boulangerie,,,," Rue de la Tannerie, Mons, Hainaut, Belgium 7000",50.4475344,3.9557016
1603,,Rue Janquart,16.0,5081.0,Meux,Namur,buvette plein pied,,,,"16.0 Rue Janquart, Meux, Namur, Belgium 5081",50.5522026,4.7960667
1604,,Steenpoort,2.0,8500.0,Kortrijk,West-Vlaanderen,"glvl, EHBO lokaal",,,,"2.0 Steenpoort, Kortrijk, West-Vlaanderen, Belgium 8500",50.8271486,3.2696789
1605,,Steenpoort,2.0,8500.0,KORTRIJK,West-Vlaanderen,verdieping +2 dispatch security,,,,"2.0 Steenpoort, KORTRIJK, West-Vlaanderen, Belgium 8500",50.8271486,3.2696789
1606,,Rue de la Mamborée,,6890.0,Villance,Luxembourg,buvette,,,," Rue de la Mamborée, Villance, Luxembourg, Belgium 6890",49.9695718,5.2029233
1607,,Rue du Cimetière,,7620.0,Bléharies,Hainaut,vestiare arbitre terrain 1,,,," Rue du Cimetière, Bléharies, Hainaut, Belgium 7620",50.5204398,3.4133293
1608,,Rue des Trois Bourdons,54.0,4840.0,Welkenraedt,Liège,"hall 2, Hexcel 1",,,,"54.0 Rue des Trois Bourdons, Welkenraedt, Liège, Belgium 4840",50.6554166,5.9770759
1609,,Rue des Trois Bourdons,54.0,4840.0,WELKENRAEDT,Liège,Hexel 2 - Hall 5,,,,"54.0 Rue des Trois Bourdons, WELKENRAEDT, Liège, Belgium 4840",50.6554166,5.9770759
1610,,Rue Henri BLONDEL,,6700.0,Arlon,Luxembourg,"vestiarie arbitre, rez",,,," Rue Henri BLONDEL, Arlon, Luxembourg, Belgium 6700",49.6717218,5.8488996
1611,,Platte Beekstraat,1.0,2800.0,Mechelen,Antwerpen,gang kleedkamers en WC,,,,"1.0 Platte Beekstraat, Mechelen, Antwerpen, Belgium 2800",51.0296439,4.504137
1612,,Donkerlei,72.0,2800.0,MECHELEN,Antwerpen,inkomhal,,,,"72.0 Donkerlei, MECHELEN, Antwerpen, Belgium 2800",51.036298,4.4791898
1613,,Eksterstraat,100.0,2800.0,MECHELEN,Antwerpen,inkomhal naast WC,,,,"100.0 Eksterstraat, MECHELEN, Antwerpen, Belgium 2800",51.0427713,4.4762389
1614,,Pastorijstraat,50.0,2800.0,MECHELEN,Antwerpen,inkomhal naast trap,,,,"50.0 Pastorijstraat, MECHELEN, Antwerpen, Belgium 2800",51.0684832,4.4584885
1615,,J.F. VAN GEELSTRAAT,1.0,2812.0,Muizen,Antwerpen,inkomhal naast trap,,,,"1.0 J.F. VAN GEELSTRAAT, Muizen, Antwerpen, Belgium 2812",51.0090533,4.5166576
1616,,Paardenstraatje,8.0,2800.0,MECHELEN,Antwerpen,inkomhal links naast infobord,,,,"8.0 Paardenstraatje, MECHELEN, Antwerpen, Belgium 2800",51.0303375,4.4841852
1617,,Chemin de la Hart,21.0,6700.0,Arlon,Luxembourg,buvette,,,,"21.0 Chemin de la Hart, Arlon, Luxembourg, Belgium 6700",49.6993502,5.8158277
1618,,Rue des Prés,,5364.0,Schaltin,Namur,couloir des vestiaires,,,," Rue des Prés, Schaltin, Namur, Belgium 5364",50.3712579,5.1279327
1619,,Rue Morimont,1.0,5330.0,Sart-Bernard,Namur,"rez, proche de l église",,,,"1.0 Rue Morimont, Sart-Bernard, Namur, Belgium 5330",50.401728,4.9410895
1620,,Rue de l Hôpital,17.0,5300.0,Andenne,Namur,"rez, buvette",,,,"17.0 Rue de l Hôpital, Andenne, Namur, Belgium 5300",50.4896747,5.0993333
1621,,Av. Einstein ,6.0,1300.0,Wavre,Brabant Wallon,"rez, locaux entreprise à l entrée",,,,"6.0 Av. Einstein , Wavre, Brabant Wallon, Belgium 1300",50.7311726,4.588456
1622,,Place Cardinal Mercier,10.0,1348.0,Louvain-la-Neuve,Brabant Wallon,entrée,Y,,,"10.0 Place Cardinal Mercier, Louvain-la-Neuve, Brabant Wallon, Belgium 1348",50.6700753,4.6105271
1623,,Rue Henri Wafelaerts,,1060.0,Bruxelles,Bruxelles-Brussel,secretariat,N,,," Rue Henri Wafelaerts, Bruxelles, Bruxelles-Brussel, Belgium 1060",50.8220323,4.3499152
1624,,Rue d Hollebeke,18.0,7781.0,HouthemComines),Hainaut,entrée salle sports,,,,"18.0 Rue d Hollebeke, HouthemComines), Hainaut, Belgium 7781",50.7897536,2.954048
1625,,Avenue Salomé,2.0,1150.0,Bruxelles,Bruxelles-Brussel,rez-de-chaussée,,,,"2.0 Avenue Salomé, Bruxelles, Bruxelles-Brussel, Belgium 1150",50.8326219,4.4564887
1626,,Tiensevest,61.0,3010.0,Leuven,Vlaams-Brabant,"glvl, ingang",,,,"61.0 Tiensevest, Leuven, Vlaams-Brabant, Belgium 3010",50.8781581,4.715815
1627,,Rue Saint Nicolas,68.0,4000.0,Liège,Liège,bureau acceuil,,,,"68.0 Rue Saint Nicolas, Liège, Liège, Belgium 4000",50.6391758,5.5395983
1628,,Place Wilson,15.0,6200.0,Châtelineau,Hainaut,"rez, salle de garde",,,,"15.0 Place Wilson, Châtelineau, Hainaut, Belgium 6200",50.4158593,4.5179895
1629,,Dieweg,3.0,1180.0,Bruxelles,Bruxelles-Brussel,"entrée usine, a côté infirmerie",,,,"3.0 Dieweg, Bruxelles, Bruxelles-Brussel, Belgium 1180",50.7970101,4.3509785
1630,,Avenue De Roovere,3.0,1080.0,Bruxelles,Bruxelles-Brussel,bureau du surveillant,,,,"3.0 Avenue De Roovere, Bruxelles, Bruxelles-Brussel, Belgium 1080",50.851014,4.3205325
1631,,Rue de la Chênaie,83.0,1180.0,Bruxelles,Bruxelles-Brussel,"stand de Tir, sous-sol",,,,"83.0 Rue de la Chênaie, Bruxelles, Bruxelles-Brussel, Belgium 1180",50.8476424,4.3571696
1632,,Avenue de Globe,46.0,1190.0,Bruxelles,Bruxelles-Brussel,vestiaire arbitre,,,,"46.0 Avenue de Globe, Bruxelles, Bruxelles-Brussel, Belgium 1190",50.8082367,4.3257864
1633,,Rue des Sports,16.0,6724.0,Houdemont,Luxembourg,rez. Salle polyvalente,,,,"16.0 Rue des Sports, Houdemont, Luxembourg, Belgium 6724",49.7250978,5.5325453
1634,,Rue de Launoy,,6769.0,Meix-devant-Virton,Luxembourg,vestiaires des arbitres,,,," Rue de Launoy, Meix-devant-Virton, Luxembourg, Belgium 6769",49.6161109,5.4850552
1635,,Rue le Brûlis,,6717.0,Attert,Luxembourg,vestiaire arbitre,,,," Rue le Brûlis, Attert, Luxembourg, Belgium 6717",49.7235757,5.8141974
1636,,Rue de Roubaix,,7520.0,Templeuve,Hainaut,"rez, vestiaire arbitre",,,," Rue de Roubaix, Templeuve, Hainaut, Belgium 7520",50.6448033,3.2827682
1637,Appareil fixe-Vast apparaat,Rue de l Aeroport,90.0,4460.0,Grâce-Hollogne,Liège,!AIRSIDE! Local repos RAMP,Oui-Ja,Oui-Ja,,"90.0 Rue de l Aeroport, Grâce-Hollogne, Liège, Belgium 4460",50.6358002,5.451961
1638,,Rue de Tiège,,4970.0,Stavelot,Liège,Terrain A1 de football,,,," Rue de Tiège, Stavelot, Liège, Belgium 4970",50.4690196,5.9681127
1639,,Rue L. Delhove,65.0,1080.0,Bruxelles,Bruxelles-Brussel,,,,,"65.0 Rue L. Delhove, Bruxelles, Bruxelles-Brussel, Belgium 1080",50.8695168,4.3157194
1640,,Chemin de Stocq,64.0,7804.0,Ostiches,Hainaut,cafétaria,,,,"64.0 Chemin de Stocq, Ostiches, Hainaut, Belgium 7804",50.6697,3.7461188
1641,,Avenue Jules. Mathieu,1.0,1400.0,Nivelles,Brabant Wallon,Couloir accès piscine,,,,"1.0 Avenue Jules. Mathieu, Nivelles, Brabant Wallon, Belgium 1400",50.5909527,4.3244666
1642,,Rue de la Bassée,,6043.0,Ransart,Hainaut,buvette,,,," Rue de la Bassée, Ransart, Hainaut, Belgium 6043",50.4464741,4.4769597
1643,,Rue des Sarts,,5501.0,Lisogne,Namur,vestiaire arbitre,,,," Rue des Sarts, Lisogne, Namur, Belgium 5501",50.2808581,4.9710519
1644,,Résidence de Labaille,100.0,7870.0,Lens,Hainaut,vestiaire arbitre,,,,"100.0 Résidence de Labaille, Lens, Hainaut, Belgium 7870",50.5598174,3.9007327
1645,,Avenue Victor Libert,,6900.0,Marche-en-Famenne,Luxembourg,1ière étage,,,," Avenue Victor Libert, Marche-en-Famenne, Luxembourg, Belgium 6900",50.2287972,5.3355476
1646,,Weiveldlaan,8.0,1930.0,Zaventem,Vlaams-Brabant,lokaal nst receptie glvl,,,,"8.0 Weiveldlaan, Zaventem, Vlaams-Brabant, Belgium 1930",50.8697359,4.496495
1647,,Vallee Bailly,102.0,1420.0,Braine-l Alleud,Brabant Wallon,salle omnisport,,,,"102.0 Vallee Bailly, Braine-l Alleud, Brabant Wallon, Belgium 1420",50.6895141,4.3806796
1648,,Rue du Roseau,60.0,1180.0,Bruxelles,Bruxelles-Brussel,entrée,,,,"60.0 Rue du Roseau, Bruxelles, Bruxelles-Brussel, Belgium 1180",50.7870649,4.3350613
1649,,Vieux Chemin de Seneffe,21.0,1400.0,Nivelles,Brabant Wallon,"rez, +1 étage",,,,"21.0 Vieux Chemin de Seneffe, Nivelles, Brabant Wallon, Belgium 1400",50.5870786,4.3142879
1650,,Rue des Viaducs,100.0,7020.0,NimyMons),Hainaut,monter l escalier d entrée,,,,"100.0 Rue des Viaducs, NimyMons), Hainaut, Belgium 7020",50.4773615,3.9532011
1651,,Rue de Village,,7622.0,Laplaigne,Hainaut,vestiaire arbitre,,,," Rue de Village, Laplaigne, Hainaut, Belgium 7622",50.5120542,3.4439334
1652,,Rue de la Solitude,61.0,7540.0,Rumillies,Hainaut,buvette,,,,"61.0 Rue de la Solitude, Rumillies, Hainaut, Belgium 7540",50.6187612,3.430152
1653,,Rue du Planois,,7090.0,Hennuyères,Hainaut,Rez cafétaria,,,," Rue du Planois, Hennuyères, Hainaut, Belgium 7090",50.6359717,4.1782931
1654,,J. Saintraint,14.0,5000.0,Namur,Namur,1ière étage,,,,"14.0 J. Saintraint, Namur, Namur, Belgium 5000",50.4631169,4.8609868
1655,,Rue de la Gendarmerie,,5600.0,Philippeville,Namur,"hall entrée, gauche",,,," Rue de la Gendarmerie, Philippeville, Namur, Belgium 5600",50.1980499,4.5633879
1656,,Avenue des Sports ,4.0,5600.0,PHILIPPEVILLE,Namur,local maitre nageurs,,,,"4.0 Avenue des Sports , PHILIPPEVILLE, Namur, Belgium 5600",50.193658,4.5406878
1657,,Rue Lieutenant Cotton,8.0,7880.0,Flobecq,Hainaut,buvette,,,,"8.0 Rue Lieutenant Cotton, Flobecq, Hainaut, Belgium 7880",50.733628,3.7458266
1658,,Chée de Renaix,38.0,7890.0,Ellezelles,Hainaut,"compl. sportif, football club",,,,"38.0 Chée de Renaix, Ellezelles, Hainaut, Belgium 7890",50.718866,3.7858657
1659,,Avenue de la déportation,68.0,7190.0,Ecaussinnes,Hainaut,vestiaire arbitre,,,,"68.0 Avenue de la déportation, Ecaussinnes, Hainaut, Belgium 7190",50.5628163,4.159412
1660,,Rue du Collège,16.0,6200.0,Châtelet,Hainaut,secrétariat,,,,"16.0 Rue du Collège, Châtelet, Hainaut, Belgium 6200",50.4057995,4.5254733
1661,,Rue de Temploux,,5190.0,Spy,Namur,hall d entrée,,,," Rue de Temploux, Spy, Namur, Belgium 5190",50.4816864,4.7173543
1662,,Gemeenteplein,1.0,2650.0,Edegem,Antwerpen,ingang,,,,"1.0 Gemeenteplein, Edegem, Antwerpen, Belgium 2650",51.1550779,4.4455252
1663,,Rue Sainte Anne,,5100.0,Naninne,Namur,vestiaire arbitre,,,," Rue Sainte Anne, Naninne, Namur, Belgium 5100",50.4194613,4.9123216
1664,,Avenue de Clermont Tonnerre ,,1330.0,Rixensart,Brabant Wallon,acceuil,,,," Avenue de Clermont Tonnerre , Rixensart, Brabant Wallon, Belgium 1330",50.7131098,4.5362963
1665,,Rue de Beauffaux,,5081.0,Saint-Denis-Bovesse,Namur,hall de la salle Judo,,,," Rue de Beauffaux, Saint-Denis-Bovesse, Namur, Belgium 5081",50.5431407,4.7693832
1666,,Rue de Nivelles,32.0,7090.0,Ronquières,Hainaut,vestiarie de l arbitre,,,,"32.0 Rue de Nivelles, Ronquières, Hainaut, Belgium 7090",50.6089388,4.2362897
1667,,Avenue des Sport,20.0,7730.0,Néchin,Hainaut,,,,,"20.0 Avenue des Sport, Néchin, Hainaut, Belgium 7730",50.6699728,3.2657068
1668,,Rue de la Heid,50.0,4920.0,Aywaille,Liège,clubhouse,,,,"50.0 Rue de la Heid, Aywaille, Liège, Belgium 4920",50.4765541,5.6805819
1669,,Rue de la Passerelle,125.0,7700.0,Mouscron,Hainaut,entrée,,,,"125.0 Rue de la Passerelle, Mouscron, Hainaut, Belgium 7700",50.7439254,3.2294493
1670,,Rue Pepin,7.0,5170.0,Profondeville,Namur,"rez, vestiarie visiteur",,,,"7.0 Rue Pepin, Profondeville, Namur, Belgium 5170",50.3814367,4.9011455
